uid_adresse;cle_interop;commune_insee;commune_nom;commune_deleguee_insee;commune_deleguee_nom;voie_nom;lieudit_complement_nom;numero;suffixe;position;x;y;long;lat;cad_parcelles;source;date_der_maj;commune_nom_bre;commune_deleguee_nom_bre;voie_nom_bre;lieudit_complement_bre;certification_commune
@a:8dc29005-659a-4369-aac0-acd34f0ee15b @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00001;35047;Bruz;;;Rue des Acacias;;1;;bâtiment;346486.97;6780392.5;-1.7454643349932766;48.02828204392352;350047000AS0562|350047000AS0671;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:ef808f0c-2ad0-4e93-83f9-670ec4c2821b @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00002;35047;Bruz;;;Rue des Acacias;;2;;bâtiment;346472.4;6780360.5;-1.7456337292388926;48.02798764386542;350047000AS0561|350047000AS0673;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:6d428f79-8340-4c47-97e3-2e3610973ced @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00003;35047;Bruz;;;Rue des Acacias;;3;;bâtiment;346487.44;6780385;-1.745452015740784;48.02821431455416;350047000AS0563;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:27cad8a5-c5a9-4137-91e9-766a4d684e8f @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00004;35047;Bruz;;;Rue des Acacias;;4;;bâtiment;346473.16;6780350;-1.7456154890272504;48.02789600428784;350047000AS0560;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:a16ae78f-0b16-4d6b-b09e-9a200954dcf9 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00005;35047;Bruz;;;Rue des Acacias;;5;;bâtiment;346488.06;6780376;-1.7454368964971918;48.02813614140455;350047000AS0564;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:5a57d489-4c03-4863-afd4-1ab6b27b4230 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00006;35047;Bruz;;;Rue des Acacias;;6;;bâtiment;346473.84;6780340.5;-1.7455981876703004;48.027807213140285;350047000AS0559;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:f1a90a0a-e764-4c59-8599-0bd5a7335394 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00007;35047;Bruz;;;Rue des Acacias;;7;;parcelle;346488.72;6780366;-1.7454201583291125;48.02804762884234;350047000AS0565;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:4e014fba-ab89-4894-894d-0f0f8e8fc756 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00008;35047;Bruz;;;Rue des Acacias;;8;;bâtiment;346474.53;6780331;-1.745581958484241;48.0277259382122;350047000AS0558;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:061489cf-948e-4086-b369-6c7e04b0c6b4 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00009;35047;Bruz;;;Rue des Acacias;;9;;parcelle;346489.4;6780356.5;-1.7454030067215056;48.02796161960886;350047000AS0566|350047000AS0704;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:5f4e9c02-8c08-4bcd-aa2c-3ef4fd02b51b @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00010;35047;Bruz;;;Rue des Acacias;;10;;bâtiment;346475.06;6780322;-1.7455674459816752;48.02764505549738;350047000AS0557;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:c79881eb-9cd2-48e3-b468-a5e133c4bbde @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00011;35047;Bruz;;;Rue des Acacias;;11;;bâtiment;346489.88;6780348;-1.745390046333779;48.02788588670223;350047000AS0567|350047000AS0705;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:92a70e8c-fdf0-48ae-a67c-2f3f0f760df7 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00012;35047;Bruz;;;Rue des Acacias;;12;;bâtiment;346475.66;6780313;-1.745552203193385;48.02756299364548;350047000AS0556;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:d2ea8810-c244-441c-adda-4f00f94b15a3 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00013;35047;Bruz;;;Rue des Acacias;;13;;parcelle;346490.44;6780338.5;-1.7453746194597268;48.02779984491509;350047000AS0568|350047000AS0706;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:cc782fbf-6697-4b26-9ef2-08f060c9d1ab @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00014;35047;Bruz;;;Rue des Acacias;;14;;bâtiment;346476.25;6780303.5;-1.7455364380575138;48.027479749466785;350047000AS0555;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:af259bab-6248-4875-a59e-6af0485059e9 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00015;35047;Bruz;;;Rue des Acacias;;15;;parcelle;346491;6780329;-1.7453593958271059;48.0277160439643;350047000AS0569|350047000AS0707;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:845865c0-a6a9-4b16-bbff-421ec42827e7 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00016;35047;Bruz;;;Rue des Acacias;;16;;bâtiment;346476.9;6780293;-1.745519163707033;48.02738528363173;350047000AS0554;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:e16c2e61-a6ce-41d5-821d-062fad1036bb @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00017;35047;Bruz;;;Rue des Acacias;;17;;bâtiment;346491.66;6780319.5;-1.745343036451213;48.02762833216672;350047000AS0570;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:bcfd01a6-bdef-4b0c-adb7-b114c9ef3451 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00018;35047;Bruz;;;Rue des Acacias;;18;;bâtiment;346477.53;6780284;-1.7455038124722455;48.02730480325039;350047000AS0553;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:504ebe61-c602-429d-8561-fe3e427fdd9d @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00019;35047;Bruz;;;Rue des Acacias;;19;;parcelle;346492.2;6780309.5;-1.745327938544166;48.02754272554287;350047000AS0571;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:e2175320-8f55-4194-99cd-34091784647f @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00020;35047;Bruz;;;Rue des Acacias;;20;;bâtiment;346478.16;6780275.5;-1.7454886067240465;48.02722866934887;350047000AS0552;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:47e3a796-b3de-4a71-88a4-0c019e1ce353 @v:48486f28-a457-45c5-8065-1bb1bd5f3592 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0001_00021;35047;Bruz;;;Rue des Acacias;;21;;bâtiment;346492.9;6780300;-1.7453106632596962;48.02745448929574;350047000AS0572;Rennes Métropole;2021-03-15;Bruz;;Straed ar C'hasia;;1
@a:62acc31a-e878-45a4-b3cd-a638f67c0d6a @v:4b61de94-c7b8-4f79-9fbf-1ba6f24d6393 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0002_00001;35047;Bruz;;;Place de l'Abbé Renard;;1;;parcelle;346222.38;6779979.5;-1.748674935705392;48.02442998893811;350047000AT1038;Rennes Métropole;2021-03-15;Bruz;;Plasenn an Abad Renard;;1
@v:20f5b260-7852-4222-a9ac-c6dd50172341 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0003_99999;35047;Bruz;;;Rue Clément Ader;;99999;;;346785.84;6781974.5;-1.7427360569378505;48.04265480342481;;Rennes Métropole;2023-11-15;Bruz;;Straed Clément Ader;;1
@a:29374ac6-ff79-464c-82b4-5125135bde27 @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00001;35047;Bruz;;;Rue des Ajoncs;;1;;parcelle;347322.84;6780190.5;-1.7341083550741871;48.02691849282535;350047000BW0175;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:d3738234-bc39-4794-a371-1bd36529fb97 @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00002;35047;Bruz;;;Rue des Ajoncs;;2;;parcelle;347333.97;6780206.5;-1.7339728137046408;48.02707150753441;350047000BW0197;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:64556c48-9d92-4ce6-8080-b526afccc0e5 @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00003;35047;Bruz;;;Rue des Ajoncs;;3;;bâtiment;347317.56;6780206;-1.7341919626439903;48.027058406286024;350047000BW0176;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:630fe6c7-eb45-4458-b80d-35f113f47a2b @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00004;35047;Bruz;;;Rue des Ajoncs;;4;;parcelle;347331.62;6780221.5;-1.73401565819865;48.027201328039304;350047000BW0198;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:a6b4eb4a-e014-47e9-af58-ffa06039a410 @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00005;35047;Bruz;;;Rue des Ajoncs;;5;;bâtiment;347315.56;6780223.5;-1.7342328943914234;48.027214897957215;350047000BW0177;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:ce22ec65-b25b-4f79-9e05-79fc7d930599 @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00006;35047;Bruz;;;Rue des Ajoncs;;6;;parcelle;347336.25;6780243;-1.7339713577612388;48.02739852801261;350047000BW0199;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:2c0d7eba-769b-45f2-85c7-61c1ddbb4db6 @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00007;35047;Bruz;;;Rue des Ajoncs;;7;;bâtiment;347314.5;6780243.5;-1.7342627791451337;48.02739039228249;350047000BW0178;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:378db5cf-ee2d-45d2-9756-2d61db624f90 @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00008;35047;Bruz;;;Rue des Ajoncs;;8;;parcelle;347348.1;6780259.5;-1.73382586062287;48.02755203054135;350047000BW0200;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:3b15364a-6990-4ee9-82e9-a40948e676b9 @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00009;35047;Bruz;;;Rue des Ajoncs;;9;;parcelle;347312.66;6780256;-1.734297804931221;48.02750252430103;350047000BW0179;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:8da49473-8bb4-45e4-a64b-af6d20ede962 @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00010;35047;Bruz;;;Rue des Ajoncs;;10;;parcelle;347362.84;6780269;-1.7336361905566509;48.02764750051805;350047000BW0201;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:7aef7e3e-9d7b-4bb2-a893-81b898b164b4 @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00012;35047;Bruz;;;Rue des Ajoncs;;12;;bâtiment;347378.6;6780279;-1.7334329968977578;48.02774409551397;350047000BW0202;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:fec65534-d72f-42c1-9832-ddc31ccd0d44 @v:2acacd82-f198-4676-b79a-67c67040da99 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0004_00014;35047;Bruz;;;Rue des Ajoncs;;14;;parcelle;347389.38;6780294.5;-1.7333011663706779;48.0278890524166;350047000BW0203;Rennes Métropole;2021-03-15;Bruz;;Straed al Lann;;1
@a:d731928a-13c5-41b6-81ef-d7b3e4c4e816 @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00001;35047;Bruz;;;Square de l'Abbé Pierre;;1;;bâtiment;345804.44;6780254;-1.7544929495516197;48.02667006203623;350047000CH0144;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:c9ba86a2-9df2-4ccc-b7a2-3bd43eabfac8 @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00002;35047;Bruz;;;Square de l'Abbé Pierre;;2;;bâtiment;345799.1;6780249.5;-1.7545607302631463;48.02662831066724;350047000CH0143;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:b0ebd5ae-5bd9-4a9d-a146-a1f4b0f2354d @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00002_bis;35047;Bruz;;;Square de l'Abbé Pierre;;2;bis;bâtiment;345780.47;6780250.5;-1.754811282828519;48.0266270455659;350047000CH0137;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:7ad5cd3e-1fa7-4c15-968c-c902ddfb5711 @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00003;35047;Bruz;;;Square de l'Abbé Pierre;;3;;bâtiment;345782.28;6780236.5;-1.7547754215372326;48.026501066849015;350047000CH0141;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:a047e58e-1b3d-4dd8-a97f-1431c160fe35 @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00004;35047;Bruz;;;Square de l'Abbé Pierre;;4;;bâtiment;345777.12;6780232;-1.7548410819540268;48.026459038159786;350047000CH0140;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:051dc596-5da4-43e6-bc1d-fa78197cfad6 @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00005;35047;Bruz;;;Square de l'Abbé Pierre;;5;;bâtiment;345771.56;6780228;-1.7549118847581981;48.0264174767742;350047000CH0139;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:81a052e9-69ae-465a-b8dc-4b5e749fb32c @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00006;35047;Bruz;;;Square de l'Abbé Pierre;;6;;bâtiment;345820.16;6780228.5;-1.754261991431335;48.02645136919158;350047000CH0145;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:e504f5c3-93b6-4e30-871b-66313a20f9f6 @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00007;35047;Bruz;;;Square de l'Abbé Pierre;;7;;bâtiment;345810.88;6780221.5;-1.7543805203483842;48.0263810800318;350047000CH0145;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:3be72d9f-4161-4d84-96e3-88c215876ab7 @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00008;35047;Bruz;;;Square de l'Abbé Pierre;;8;;bâtiment;345800.06;6780214.5;-1.7545194829592903;48.02631400041059;350047000CH0145;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:ad68d393-0f9f-48bd-a5d3-8920273303fc @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00009;35047;Bruz;;;Square de l'Abbé Pierre;;9;;bâtiment;345790.2;6780206.5;-1.7546453363033794;48.02623540359854;350047000CH0145;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:641e3160-9596-4be3-bd5b-3e5ce1372fcf @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00010;35047;Bruz;;;Square de l'Abbé Pierre;;10;;bâtiment;345841.88;6780211;-1.753956742670826;48.0263026627381;350047000CH0146;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:524ef8da-7a66-431e-b45c-da681a0873b9 @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00011;35047;Bruz;;;Square de l'Abbé Pierre;;11;;bâtiment;345834.8;6780206.5;-1.7540475501256183;48.026259481287504;350047000CH0147;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:a354ac25-1198-4dae-a5d3-5cdbe0fe10b9 @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00012;35047;Bruz;;;Square de l'Abbé Pierre;;12;;bâtiment;345825.12;6780207.5;-1.7541781103624352;48.02626149837523;350047000CH0148;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:0bb788af-4893-47b6-9340-bf3eb765e30f @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00013;35047;Bruz;;;Square de l'Abbé Pierre;;13;;bâtiment;345813.06;6780188;-1.7543240532511724;48.02607997020554;350047000CH0149;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:20bce796-3e93-4028-864c-9eb1ae9269f9 @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00014;35047;Bruz;;;Square de l'Abbé Pierre;;14;;bâtiment;345805.12;6780186;-1.7544289182907975;48.02605935026108;350047000CH0150;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:5f746d90-6e56-48b2-9597-96a519df6b27 @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00015;35047;Bruz;;;Square de l'Abbé Pierre;;15;;parcelle;345847.7;6780195.5;-1.7538665981881163;48.026169314980216;350047000CH0151;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:32594d9b-5337-4388-b6c2-cee1407f54aa @v:57be4218-0944-4e58-8b6a-2ba67765fda0 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0006_00016;35047;Bruz;;;Square de l'Abbé Pierre;;16;;parcelle;345819.8;6780173.5;-1.7542220943680775;48.02595728866439;350047000CH0151;Rennes Métropole;2021-03-15;Bruz;;Skwar an Abad Pierre;;1
@a:454e6fae-8051-4b99-9ed0-e7a3bf819cf4 @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00001;35047;Bruz;;;Avenue Alphonse Legault;;1;;parcelle;346413.28;6780025;-1.7461552070138526;48.02494145327602;350047000AS0969|350047000AS0972|350047000AS0995;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:03c5ee03-4d9a-44e6-bf89-848adbdfabb4 @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00002;35047;Bruz;;;Avenue Alphonse Legault;;2;;bâtiment;346370.44;6779997.5;-1.7467067845040793;48.024673399889394;350047000AS0196;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:121863f4-0173-4064-9030-a8d95003f7c5 @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00003;35047;Bruz;;;Avenue Alphonse Legault;;3;;bâtiment;346461.8;6780028.5;-1.7455079750286666;48.02499937232617;350047000AS0973|350047000AS0027|350047000AS0031|350047000AS0037|350047000AS0422|350047000AS0837|350047000AS0976;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:6aafa4de-7cfa-4ba7-9c17-8676de642885 @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00004;35047;Bruz;;;Avenue Alphonse Legault;;4;;bâtiment;346384.94;6779999.5;-1.746514474063416;48.02469948070692;350047000AS0195;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:d260588a-e0ee-4090-ac46-8ca7b9803495 @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00005;35047;Bruz;;;Avenue Alphonse Legault;;5;;bâtiment;346520.38;6780138.5;-1.7448122936477521;48.026017989621565;350047000AS0042|350047000AS0019|350047000AS0045|350047000AS0423|350047000AS0445|350047000AS0996|350047000AS1108;Rennes Métropole;2025-01-08;Bruz;;Bali Alphonse Legault;;1
@a:21f27ba5-02b0-4801-94e2-1004b5dba34f @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00005_bis;35047;Bruz;;;Avenue Alphonse Legault;;5;bis;bâtiment;346539.62;6780119.5;-1.7445394100570994;48.02585990378265;350047000AS0042|350047000AS0019|350047000AS0045|350047000AS0423|350047000AS0445|350047000AS0996|350047000AS1108;Rennes Métropole;2025-01-08;Bruz;;Bali Alphonse Legault;;1
@a:5a5f24ac-8b72-4487-9370-e603a94da3ff @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00006;35047;Bruz;;;Avenue Alphonse Legault;;6;;bâtiment;346397.56;6780001.5;-1.7463467294660038;48.02472296568813;350047000AS0195;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:9509a78d-de7d-4cb4-82c8-318bdce01471 @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00007;35047;Bruz;;;Avenue Alphonse Legault;;7;;parcelle;346561.06;6780033.5;-1.7441834803045322;48.02510080582845;350047000AS1022|350047000AS0046;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:6965fd94-93b3-4e98-8398-547194bb5859 @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00008;35047;Bruz;;;Avenue Alphonse Legault;;8;;bâtiment;346412.72;6780003.5;-1.7461456540724027;48.024749681353725;350047000AS0194;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:87933cff-1c70-469c-a711-bca9fa4e267e @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00009;35047;Bruz;;;Avenue Alphonse Legault;;9;;bâtiment;346575.8;6780034.5;-1.7439864728034948;48.02511524810603;350047000AS0048|350047000AS1214;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:5496eac1-2fcd-462f-9c9a-16848f5f11db @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00010;35047;Bruz;;;Avenue Alphonse Legault;;10;;bâtiment;346426.28;6780005.5;-1.7459656578866916;48.024774626658534;350047000AS0193;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:e6cd009c-f3d5-4e8d-9b8c-761afa4856dc @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00011;35047;Bruz;;;Avenue Alphonse Legault;;11;;bâtiment;346589.16;6780035;-1.7438081966223586;48.0251272470071;350047000AS0206|350047000AS1219;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:ec0b3e24-c01d-4841-8076-bd2e588ff00a @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00012;35047;Bruz;;;Avenue Alphonse Legault;;12;;parcelle;346480.97;6780007;-1.7452344372263326;48.02481567640371;350047000AS1137|350047000AS1176|350047000AS1186|350047000AS1191|350047000AS1197;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:ad5eb360-19f0-4456-9f36-f2a71b2c4a74 @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00013;35047;Bruz;;;Avenue Alphonse Legault;;13;;bâtiment;346601.16;6780035.5;-1.7436482694043864;48.025139645288284;350047000AS0052|350047000AS0051;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
@a:760e225a-10f8-4e66-b7f1-56484b6ff5ae @v:315e4621-5d24-4980-9729-b74dc368fbf8 @c:6359dd2e-be1c-49b5-afd6-b90f2cd48242;35047_0010_00014;35047;Bruz;;;Avenue Alphonse Legault;;14;;parcelle;346490.16;6780007;-1.7451115175996963;48.02482178519426;350047000AS1137|350047000AS1176|350047000AS1186|350047000AS1191|350047000AS1197;Rennes Métropole;2023-11-17;Bruz;;Bali Alphonse Legault;;1
